original_name,program_class,program_genre,content_id,duration_median
#followfriday,MOVIE,Thriller,1,64.0
10 days in a madhouse,MOVIE,Thriller,2,56.5
100 treets,MOVIE,Drama,3,88.0
101 dalmatians,MOVIE,Family,4,50.0
102 dalmatians,MOVIE,"Comedy, Action",5,52.5
11.6,MOVIE,Drama,6,85.0
12 monkeys (T),SERIES/EPISODES,Drama,7,1395.5
12 rounds,MOVIE,Action,8,45.5
12 rounds : reloaded,MOVIE,Action,9,52.5
127 hours,MOVIE,Biography,10,116.0
17 again,MOVIE,Comedy,11,99.0
2 filisaaf (T),SERIES/EPISODES,Comedy,12,161.5
2012,MOVIE,Action,13,151.0
21,MOVIE,Thriller,14,44.0
21 grams,MOVIE,Drama,15,88.0
21 jump treet,MOVIE,Action,16,113.5
22 jump treet,MOVIE,Comedy,17,157.0
24 (T),SERIES/EPISODES,"Action, Drama",18,674.0
24 carat (T),SERIES/EPISODES,Drama,19,76.0
24 hours to live,MOVIE,Action,20,93.0
24: live another day (T),SERIES/EPISODES,Drama,21,83.0
30 minutes or less,MOVIE,Action,22,82.5
300,MOVIE,Action,23,39.0
300: rise of an empire,MOVIE,Action,24,96.0
4 minute mile,MOVIE,Drama,25,28.0
47 ronin,MOVIE,Action,26,214.5
48 hrs,MOVIE,Action,27,55.0
50 first dates,MOVIE,Comedy,28,52.0
500 days of ummer,MOVIE,Comedy,29,36.0
71,MOVIE,Action,30,65.0
a beautiful mind,MOVIE,Drama,31,44.0
a birder's guide to everything,MOVIE,Comedy,32,40.0
a cure for wellness,MOVIE,Horror,33,89.0
a dog's purpose,MOVIE,Comedy,34,98.0
a few good men,MOVIE,Drama,35,55.5
a fighting man,MOVIE,Drama,36,62.0
a glimpse inside the mind of charles,MOVIE,Comedy,37,29.0
a good day to die hard,MOVIE,Action,38,54.0
a goofy movie,MOVIE,Animation,39,55.0
a horse tory,MOVIE,Family,40,33.0
a knight's tale,MOVIE,Action,41,14.0
a lobster tale,MOVIE,Drama,42,13.0
a man apart,MOVIE,Action,43,53.0
a night in the woods,MOVIE,Horror,44,93.0
a royal night out,MOVIE,Drama,45,62.5
a thousand words,MOVIE,Comedy,46,90.0
a tory and a proverb (T),SERIES/EPISODES,Animation,47,99.0
a unday kind of love,MOVIE,Drama,48,29.5
a very british gangster,MOVIE,Documentary,49,35.0
a very harold and kumar christmas,MOVIE,Comedy,50,88.0
a walk among the tombstones,MOVIE,Crime,51,72.5
about last night,MOVIE,Comedy,52,72.5
abraham lincoln: vampire hunter,MOVIE,Action,53,38.0
absolutely fabulous: the movie,MOVIE,Comedy,54,98.0
active hooter: america under fire (T),SERIES/EPISODES,Documentary,55,57.0
addams family values,MOVIE,Comedy,56,62.0
adham alsharqawy (T),SERIES/EPISODES,Drama,57,95.0
